iter	Passed	Remaining
0	68	13560
1	127	12587
2	178	11720
3	235	11550
4	286	11175
5	342	11081
6	396	10922
7	452	10853
8	508	10788
9	560	10647
10	617	10603
11	674	10563
12	724	10421
13	773	10274
14	821	10134
15	874	10059
16	933	10046
17	991	10022
18	1043	9936
19	1105	9946
20	1157	9866
21	1216	9846
22	1267	9752
23	1316	9657
24	1370	9591
25	1433	9593
26	1488	9538
27	1550	9522
28	1608	9484
29	1667	9448
30	1724	9402
31	1777	9330
32	1829	9258
33	1894	9250
34	1956	9225
35	2022	9211
36	2077	9151
37	2130	9081
38	2189	9039
39	2247	8989
40	2311	8964
41	2360	8881
42	2413	8812
43	2473	8770
44	2525	8699
45	2582	8645
46	2636	8582
47	2696	8540
48	2754	8488
49	2820	8460
50	2882	8420
51	2944	8380
52	2994	8304
53	3054	8258
54	3117	8219
55	3170	8152
56	3225	8092
57	3288	8050
58	3348	8001
59	3407	7951
60	3464	7894
61	3513	7820
62	3568	7759
63	3624	7702
64	3676	7636
65	3730	7573
66	3797	7538
67	3857	7487
68	3918	7439
69	3971	7375
70	4020	7305
71	4076	7247
72	4137	7197
73	4198	7148
74	4250	7084
75	4317	7043
76	4367	6976
77	4418	6910
78	4466	6841
79	4521	6782
80	4585	6736
81	4639	6676
82	4692	6614
83	4759	6573
84	4816	6516
85	4868	6453
86	4918	6387
87	4970	6326
88	5025	6267
89	5078	6207
90	5138	6154
91	5192	6095
92	5244	6034
93	5298	5974
94	5345	5907
95	5393	5842
96	5443	5780
97	5495	5719
98	5558	5670
99	5619	5619
100	5674	5561
101	5734	5509
102	5787	5450
103	5843	5394
104	5898	5337
105	5967	5291
106	6023	5235
107	6075	5175
108	6126	5114
109	6177	5054
110	6230	4995
111	6287	4939
112	6353	4891
113	6404	4831
114	6452	4769
115	6509	4713
116	6562	4655
117	6613	4595
118	6675	4544
119	6730	4486
120	6799	4439
121	6872	4393
122	6921	4333
123	6989	4283
124	7046	4227
125	7106	4173
126	7159	4115
127	7219	4060
128	7277	4005
129	7329	3946
130	7380	3887
131	7435	3830
132	7491	3774
133	7544	3716
134	7598	3658
135	7650	3600
136	7703	3542
137	7754	3483
138	7806	3426
139	7868	3372
140	7925	3316
141	7977	3258
142	8027	3199
143	8078	3141
144	8131	3084
145	8180	3025
146	8233	2968
147	8301	2916
148	8352	2858
149	8409	2803
150	8461	2745
151	8513	2688
152	8563	2630
153	8628	2577
154	8681	2520
155	8737	2464
156	8790	2407
157	8844	2351
158	8898	2294
159	8966	2241
160	9022	2185
161	9078	2129
162	9130	2072
163	9183	2015
164	9236	1959
165	9287	1902
166	9338	1845
167	9390	1788
168	9439	1731
169	9490	1674
170	9557	1620
171	9614	1565
172	9667	1508
173	9718	1452
174	9772	1396
175	9822	1339
176	9879	1283
177	9924	1226
178	9979	1170
179	10032	1114
180	10088	1058
181	10138	1002
182	10189	946
183	10247	891
184	10297	834
185	10345	778
186	10397	722
187	10454	667
188	10512	611
189	10572	556
190	10624	500
191	10679	444
192	10730	389
193	10781	333
194	10838	277
195	10897	222
196	10963	166
197	11027	111
198	11088	55
199	11145	0
